H|182789|26-DEC-2017|1243401|DT|P|F
P|R|26-DEC-2017|2|11|ONZN|-3
P|R|26-DEC-2017|2|11|PQAT|-3
P|R|26-DEC-2017|2|11|PQBE|-3
P|R|26-DEC-2017|2|11|PQDA|-3
P|R|26-DEC-2017|2|11|PQDZ|-3
P|R|26-DEC-2017|2|11|PQHA|-3
P|R|26-DEC-2017|2|11|PQHZ|-3
P|R|26-DEC-2017|2|11|PQPC|-3
P|R|26-DEC-2017|2|11|PQQC|-3
P|R|26-DEC-2017|2|11|PQSK|-3
P|R|26-DEC-2017|2|11|PQXY|-3
P|R|26-DEC-2017|2|12|MBSI|15
P|R|26-DEC-2017|2|12|MISI|22.02
P|R|26-DEC-2017|2|12|MNSI|10
P|R|26-DEC-2017|2|12|NYSI|-3
P|R|26-DEC-2017|2|12|ONZN|-3
P|R|26-DEC-2017|2|12|PQAT|-3
P|R|26-DEC-2017|2|12|PQBE|-3
P|R|26-DEC-2017|2|12|PQDA|-3
P|R|26-DEC-2017|2|12|PQDZ|-3
P|R|26-DEC-2017|2|12|PQHA|-3
P|R|26-DEC-2017|2|12|PQHZ|-3
P|R|26-DEC-2017|2|12|PQPC|-3
P|R|26-DEC-2017|2|12|PQQC|-3
P|R|26-DEC-2017|2|12|PQSK|-3
P|R|26-DEC-2017|2|12|PQXY|-3
P|H|26-DEC-2017|3|0|ONZN|-3
P|R|26-DEC-2017|3|1|MBSI|29
P|R|26-DEC-2017|3|1|MISI|20.12
P|R|26-DEC-2017|3|1|MNSI|15
P|R|26-DEC-2017|3|1|NYSI|-3
P|R|26-DEC-2017|3|1|ONZN|-3
P|R|26-DEC-2017|3|1|PQAT|-3
P|R|26-DEC-2017|3|1|PQBE|-3
P|R|26-DEC-2017|3|1|PQDA|-3
P|R|26-DEC-2017|3|1|PQDZ|-3
P|R|26-DEC-2017|3|1|PQHA|-3
P|R|26-DEC-2017|3|1|PQHZ|-3
P|R|26-DEC-2017|3|1|PQPC|-3
P|R|26-DEC-2017|3|1|PQQC|-3
P|R|26-DEC-2017|3|1|PQSK|-3
P|R|26-DEC-2017|3|1|PQXY|-3
P|R|26-DEC-2017|3|2|MBSI|29
P|R|26-DEC-2017|3|2|MISI|20.12
P|R|26-DEC-2017|3|2|MNSI|15
P|R|26-DEC-2017|3|2|NYSI|-3
P|R|26-DEC-2017|3|2|ONZN|-3
P|R|26-DEC-2017|3|2|PQAT|-3
P|R|26-DEC-2017|3|2|PQBE|-3
P|R|26-DEC-2017|3|2|PQDA|-3
P|R|26-DEC-2017|3|2|PQDZ|-3
P|R|26-DEC-2017|3|2|PQHA|-3
P|R|26-DEC-2017|3|2|PQHZ|-3
P|R|26-DEC-2017|3|2|PQPC|-3
P|R|26-DEC-2017|3|2|PQQC|-3
P|R|26-DEC-2017|3|2|PQSK|-3
P|R|26-DEC-2017|3|2|PQXY|-3
P|R|26-DEC-2017|3|3|MBSI|29
P|R|26-DEC-2017|3|3|MISI|20.12
P|R|26-DEC-2017|3|3|MNSI|15
P|R|26-DEC-2017|3|3|NYSI|-3
P|R|26-DEC-2017|3|3|ONZN|-3
P|R|26-DEC-2017|3|3|PQAT|-3
P|R|26-DEC-2017|3|3|PQBE|-3
P|R|26-DEC-2017|3|3|PQDA|-3
P|R|26-DEC-2017|3|3|PQDZ|-3
P|R|26-DEC-2017|3|3|PQHA|-3
P|R|26-DEC-2017|3|3|PQHZ|-3
P|R|26-DEC-2017|3|3|PQPC|-3
P|R|26-DEC-2017|3|3|PQQC|-3
P|R|26-DEC-2017|3|3|PQSK|-3
P|R|26-DEC-2017|3|3|PQXY|-3
P|R|26-DEC-2017|3|4|MBSI|29
P|R|26-DEC-2017|3|4|MISI|20.12
P|R|26-DEC-2017|3|4|MNSI|15
P|R|26-DEC-2017|3|4|NYSI|-3
P|R|26-DEC-2017|3|4|ONZN|-3
P|R|26-DEC-2017|3|4|PQAT|-3
P|R|26-DEC-2017|3|4|PQBE|-3
P|R|26-DEC-2017|3|4|PQDA|-3
P|R|26-DEC-2017|3|4|PQDZ|-3
P|R|26-DEC-2017|3|4|PQHA|-3
P|R|26-DEC-2017|3|4|PQHZ|-3
P|R|26-DEC-2017|3|4|PQPC|-3
P|R|26-DEC-2017|3|4|PQQC|-3
P|R|26-DEC-2017|3|4|PQSK|-3
P|R|26-DEC-2017|3|4|PQXY|-3
P|R|26-DEC-2017|3|5|MBSI|29
P|R|26-DEC-2017|3|5|MISI|20.12
P|R|26-DEC-2017|3|5|MNSI|15
P|R|26-DEC-2017|3|5|NYSI|-3
P|R|26-DEC-2017|3|5|ONZN|-3
P|R|26-DEC-2017|3|5|PQAT|-3
P|R|26-DEC-2017|3|5|PQBE|-3
P|R|26-DEC-2017|3|5|PQDA|-3
P|R|26-DEC-2017|3|5|PQDZ|-3
P|R|26-DEC-2017|3|5|PQHA|-3
P|R|26-DEC-2017|3|5|PQHZ|-3
P|R|26-DEC-2017|3|5|PQPC|-3
P|R|26-DEC-2017|3|5|PQQC|-3
P|R|26-DEC-2017|3|5|PQSK|-3
P|R|26-DEC-2017|3|5|PQXY|-3
P|R|26-DEC-2017|3|6|MBSI|29
P|R|26-DEC-2017|3|6|MISI|20.12
P|R|26-DEC-2017|3|6|MNSI|15
P|R|26-DEC-2017|3|6|NYSI|-3
P|R|26-DEC-2017|3|6|ONZN|-3
P|R|26-DEC-2017|3|6|PQAT|-3
P|R|26-DEC-2017|3|6|PQBE|-3
P|R|26-DEC-2017|3|6|PQDA|-3
P|R|26-DEC-2017|3|6|PQDZ|-3
P|R|26-DEC-2017|3|6|PQHA|-3
P|R|26-DEC-2017|3|6|PQHZ|-3
P|R|26-DEC-2017|3|6|PQPC|-3
P|R|26-DEC-2017|3|6|PQQC|-3
P|R|26-DEC-2017|3|6|PQSK|-3
P|R|26-DEC-2017|3|6|PQXY|-3
P|R|26-DEC-2017|3|7|MBSI|29
P|R|26-DEC-2017|3|7|MISI|20.12
P|R|26-DEC-2017|3|7|MNSI|15
P|R|26-DEC-2017|3|7|NYSI|-3
P|R|26-DEC-2017|3|7|ONZN|-3
P|R|26-DEC-2017|3|7|PQAT|-3
P|R|26-DEC-2017|3|7|PQBE|-3
P|R|26-DEC-2017|3|7|PQDA|-3
P|R|26-DEC-2017|3|7|PQDZ|-3
P|R|26-DEC-2017|3|7|PQHA|-3
P|R|26-DEC-2017|3|7|PQHZ|-3
P|R|26-DEC-2017|3|7|PQPC|-3
P|R|26-DEC-2017|3|7|PQQC|-3
P|R|26-DEC-2017|3|7|PQSK|-3
P|R|26-DEC-2017|3|7|PQXY|-3
P|R|26-DEC-2017|3|8|MBSI|29
P|R|26-DEC-2017|3|8|MISI|20.12
P|R|26-DEC-2017|3|8|MNSI|15
P|R|26-DEC-2017|3|8|NYSI|-3
P|R|26-DEC-2017|3|8|ONZN|-3
P|R|26-DEC-2017|3|8|PQAT|-3
P|R|26-DEC-2017|3|8|PQBE|-3
P|R|26-DEC-2017|3|8|PQDA|-3
P|R|26-DEC-2017|3|8|PQDZ|-3
P|R|26-DEC-2017|3|8|PQHA|-3
P|R|26-DEC-2017|3|8|PQHZ|-3
P|R|26-DEC-2017|3|8|PQPC|-3
P|R|26-DEC-2017|3|8|PQQC|-3
P|R|26-DEC-2017|3|8|PQSK|-3
P|R|26-DEC-2017|3|8|PQXY|-3
P|R|26-DEC-2017|3|9|MBSI|29
P|R|26-DEC-2017|3|9|MISI|20.12
P|R|26-DEC-2017|3|9|MNSI|15
P|R|26-DEC-2017|3|9|NYSI|-3
P|R|26-DEC-2017|3|9|ONZN|-3
P|R|26-DEC-2017|3|9|PQAT|-3
P|R|26-DEC-2017|3|9|PQBE|-3
P|R|26-DEC-2017|3|9|PQDA|-3
P|R|26-DEC-2017|3|9|PQDZ|-3
P|R|26-DEC-2017|3|9|PQHA|-3
P|R|26-DEC-2017|3|9|PQHZ|-3
P|R|26-DEC-2017|3|9|PQPC|-3
P|R|26-DEC-2017|3|9|PQQC|-3
P|R|26-DEC-2017|3|9|PQSK|-3
P|R|26-DEC-2017|3|9|PQXY|-3
P|R|26-DEC-2017|3|10|MBSI|29
P|R|26-DEC-2017|3|10|MISI|20.12
P|R|26-DEC-2017|3|10|MNSI|15
P|R|26-DEC-2017|3|10|NYSI|-3
P|R|26-DEC-2017|3|10|ONZN|-3
P|R|26-DEC-2017|3|10|PQAT|-3
P|R|26-DEC-2017|3|10|PQBE|-3
P|R|26-DEC-2017|3|10|PQDA|-3
P|R|26-DEC-2017|3|10|PQDZ|-3
P|R|26-DEC-2017|3|10|PQHA|-3
P|R|26-DEC-2017|3|10|PQHZ|-3
