H|182789|04-JUL-2017|1198552|DT|P|F
P|R|04-JUL-2017|3|7|PQAT|-4.7
P|R|04-JUL-2017|3|7|PQBE|-4.7
P|R|04-JUL-2017|3|7|PQDA|-4.7
P|R|04-JUL-2017|3|7|PQDZ|-4.7
P|R|04-JUL-2017|3|7|PQHA|-4.7
P|R|04-JUL-2017|3|7|PQHZ|-4.7
P|R|04-JUL-2017|3|7|PQPC|-4.7
P|R|04-JUL-2017|3|7|PQQC|-4.7
P|R|04-JUL-2017|3|7|PQSK|-4.7
P|R|04-JUL-2017|3|7|PQXY|-4.7
P|R|04-JUL-2017|3|8|MBSI|-4.7
P|R|04-JUL-2017|3|8|MISI|22.02
P|R|04-JUL-2017|3|8|MNSI|15.8
P|R|04-JUL-2017|3|8|NYSI|4.89
P|R|04-JUL-2017|3|8|ONZN|-4.7
P|R|04-JUL-2017|3|8|PQAT|-4.7
P|R|04-JUL-2017|3|8|PQBE|-4.7
P|R|04-JUL-2017|3|8|PQDA|-4.7
P|R|04-JUL-2017|3|8|PQDZ|-4.7
P|R|04-JUL-2017|3|8|PQHA|-4.7
P|R|04-JUL-2017|3|8|PQHZ|-4.7
P|R|04-JUL-2017|3|8|PQPC|-4.7
P|R|04-JUL-2017|3|8|PQQC|-4.7
P|R|04-JUL-2017|3|8|PQSK|-4.7
P|R|04-JUL-2017|3|8|PQXY|-4.7
P|R|04-JUL-2017|3|9|MBSI|-4.7
P|R|04-JUL-2017|3|9|MISI|22.02
P|R|04-JUL-2017|3|9|MNSI|15.8
P|R|04-JUL-2017|3|9|NYSI|4.89
P|R|04-JUL-2017|3|9|ONZN|-4.7
P|R|04-JUL-2017|3|9|PQAT|-4.7
P|R|04-JUL-2017|3|9|PQBE|-4.7
P|R|04-JUL-2017|3|9|PQDA|-4.7
P|R|04-JUL-2017|3|9|PQDZ|-4.7
P|R|04-JUL-2017|3|9|PQHA|-4.7
P|R|04-JUL-2017|3|9|PQHZ|-4.7
P|R|04-JUL-2017|3|9|PQPC|-4.7
P|R|04-JUL-2017|3|9|PQQC|-4.7
P|R|04-JUL-2017|3|9|PQSK|-4.7
P|R|04-JUL-2017|3|9|PQXY|-4.7
P|R|04-JUL-2017|3|10|MBSI|-4.7
P|R|04-JUL-2017|3|10|MISI|22.02
P|R|04-JUL-2017|3|10|MNSI|15.8
P|R|04-JUL-2017|3|10|NYSI|4.89
P|R|04-JUL-2017|3|10|ONZN|-4.7
P|R|04-JUL-2017|3|10|PQAT|-4.7
P|R|04-JUL-2017|3|10|PQBE|-4.7
P|R|04-JUL-2017|3|10|PQDA|-4.7
P|R|04-JUL-2017|3|10|PQDZ|-4.7
P|R|04-JUL-2017|3|10|PQHA|-4.7
P|R|04-JUL-2017|3|10|PQHZ|-4.7
P|R|04-JUL-2017|3|10|PQPC|-4.7
P|R|04-JUL-2017|3|10|PQQC|-4.7
P|R|04-JUL-2017|3|10|PQSK|-4.7
P|R|04-JUL-2017|3|10|PQXY|-4.7
P|R|04-JUL-2017|3|11|MBSI|-4.7
P|R|04-JUL-2017|3|11|MISI|22.02
P|R|04-JUL-2017|3|11|MNSI|15.8
